model,snaive_bc_bs,ets_log,arima_bc_bs,nnetar_bc_bs,tslm_fourier,stl_arima_bc,hist_week,bsts_seasonal,ets_bc,arima_log,nnetar_log
snaive_bc_bs,1,0.149,0.28,0.306,0.514,0.337,0.495,0.145,0.154,0.272,0.296
ets_log,0.149,1,0.834,0.53,0.218,0.539,0.359,0.569,0.993,0.861,0.546
arima_bc_bs,0.28,0.834,1,0.612,0.31,0.737,0.487,0.447,0.842,0.966,0.622
nnetar_bc_bs,0.306,0.53,0.612,1,0.387,0.503,0.389,0.504,0.538,0.589,0.924
tslm_fourier,0.514,0.218,0.31,0.387,1,0.424,0.698,0.226,0.227,0.304,0.377
stl_arima_bc,0.337,0.539,0.737,0.503,0.424,1,0.536,0.347,0.543,0.727,0.514
hist_week,0.495,0.359,0.487,0.389,0.698,0.536,1,0.239,0.357,0.483,0.403
bsts_seasonal,0.145,0.569,0.447,0.504,0.226,0.347,0.239,1,0.579,0.459,0.465
ets_bc,0.154,0.993,0.842,0.538,0.227,0.543,0.357,0.579,1,0.86,0.549
arima_log,0.272,0.861,0.966,0.589,0.304,0.727,0.483,0.459,0.86,1,0.593
nnetar_log,0.296,0.546,0.622,0.924,0.377,0.514,0.403,0.465,0.549,0.593,1
