origin_date,location,regime
2015-10-24,HHS Region 1,growing
2015-10-24,HHS Region 10,growing
2015-10-24,HHS Region 2,growing
2015-10-24,HHS Region 3,growing
2015-10-24,HHS Region 4,growing
2015-10-24,HHS Region 5,growing
2015-10-24,HHS Region 6,growing
2015-10-24,HHS Region 7,growing
2015-10-24,HHS Region 8,growing
2015-10-24,HHS Region 9,growing
2015-10-24,US National,growing
2015-10-31,HHS Region 1,growing
2015-10-31,HHS Region 10,growing
2015-10-31,HHS Region 2,growing
2015-10-31,HHS Region 3,growing
2015-10-31,HHS Region 4,growing
2015-10-31,HHS Region 5,growing
2015-10-31,HHS Region 6,growing
2015-10-31,HHS Region 7,growing
2015-10-31,HHS Region 8,growing
2015-10-31,HHS Region 9,growing
2015-10-31,US National,growing
2015-11-07,HHS Region 1,growing
2015-11-07,HHS Region 10,growing
2015-11-07,HHS Region 2,growing
2015-11-07,HHS Region 3,growing
2015-11-07,HHS Region 4,growing
2015-11-07,HHS Region 5,growing
2015-11-07,HHS Region 6,growing
2015-11-07,HHS Region 7,growing
2015-11-07,HHS Region 8,growing
2015-11-07,HHS Region 9,growing
2015-11-07,US National,growing
2015-11-14,HHS Region 1,growing
2015-11-14,HHS Region 10,growing
2015-11-14,HHS Region 2,growing
2015-11-14,HHS Region 3,growing
2015-11-14,HHS Region 4,growing
2015-11-14,HHS Region 5,growing
2015-11-14,HHS Region 6,growing
2015-11-14,HHS Region 7,growing
2015-11-14,HHS Region 8,growing
2015-11-14,HHS Region 9,growing
2015-11-14,US National,growing
2015-11-21,HHS Region 1,growing
2015-11-21,HHS Region 10,growing
2015-11-21,HHS Region 2,growing
2015-11-21,HHS Region 3,growing
2015-11-21,HHS Region 4,growing
2015-11-21,HHS Region 5,growing
2015-11-21,HHS Region 6,growing
2015-11-21,HHS Region 7,growing
2015-11-21,HHS Region 8,growing
2015-11-21,HHS Region 9,growing
2015-11-21,US National,growing
2015-11-28,HHS Region 1,growing
2015-11-28,HHS Region 10,growing
2015-11-28,HHS Region 2,growing
2015-11-28,HHS Region 3,growing
2015-11-28,HHS Region 4,growing
2015-11-28,HHS Region 5,growing
2015-11-28,HHS Region 6,growing
2015-11-28,HHS Region 7,growing
2015-11-28,HHS Region 8,growing
2015-11-28,HHS Region 9,growing
2015-11-28,US National,growing
2015-12-05,HHS Region 1,growing
2015-12-05,HHS Region 10,declining
2015-12-05,HHS Region 2,growing
2015-12-05,HHS Region 3,growing
2015-12-05,HHS Region 4,growing
2015-12-05,HHS Region 5,growing
2015-12-05,HHS Region 6,growing
2015-12-05,HHS Region 7,growing
2015-12-05,HHS Region 8,growing
2015-12-05,HHS Region 9,growing
2015-12-05,US National,growing
2015-12-12,HHS Region 1,growing
2015-12-12,HHS Region 10,growing
2015-12-12,HHS Region 2,growing
2015-12-12,HHS Region 3,growing
2015-12-12,HHS Region 4,growing
2015-12-12,HHS Region 5,growing
2015-12-12,HHS Region 6,growing
2015-12-12,HHS Region 7,growing
2015-12-12,HHS Region 8,growing
2015-12-12,HHS Region 9,growing
2015-12-12,US National,growing
2015-12-19,HHS Region 1,growing
2015-12-19,HHS Region 10,growing
2015-12-19,HHS Region 2,peaking
2015-12-19,HHS Region 3,growing
2015-12-19,HHS Region 4,peaking
2015-12-19,HHS Region 5,peaking
2015-12-19,HHS Region 6,peaking
2015-12-19,HHS Region 7,peaking
2015-12-19,HHS Region 8,growing
2015-12-19,HHS Region 9,growing
2015-12-19,US National,peaking
2015-12-26,HHS Region 1,growing
2015-12-26,HHS Region 10,growing
2015-12-26,HHS Region 2,growing
2015-12-26,HHS Region 3,growing
2015-12-26,HHS Region 4,growing
2015-12-26,HHS Region 5,growing
2015-12-26,HHS Region 6,growing
2015-12-26,HHS Region 7,growing
2015-12-26,HHS Region 8,growing
2015-12-26,HHS Region 9,growing
2015-12-26,US National,growing
2016-01-02,HHS Region 1,growing
2016-01-02,HHS Region 10,growing
2016-01-02,HHS Region 2,growing
2016-01-02,HHS Region 3,growing
2016-01-02,HHS Region 4,growing
2016-01-02,HHS Region 5,growing
2016-01-02,HHS Region 6,growing
2016-01-02,HHS Region 7,growing
2016-01-02,HHS Region 8,growing
2016-01-02,HHS Region 9,growing
2016-01-02,US National,growing
2016-01-09,HHS Region 1,peaking
2016-01-09,HHS Region 10,growing
2016-01-09,HHS Region 2,declining
2016-01-09,HHS Region 3,peaking
2016-01-09,HHS Region 4,declining
2016-01-09,HHS Region 5,peaking
2016-01-09,HHS Region 6,declining
2016-01-09,HHS Region 7,declining
2016-01-09,HHS Region 8,peaking
2016-01-09,HHS Region 9,peaking
2016-01-09,US National,peaking
2016-01-16,HHS Region 1,declining
2016-01-16,HHS Region 10,growing
2016-01-16,HHS Region 2,declining
2016-01-16,HHS Region 3,declining
2016-01-16,HHS Region 4,declining
2016-01-16,HHS Region 5,declining
2016-01-16,HHS Region 6,declining
2016-01-16,HHS Region 7,declining
2016-01-16,HHS Region 8,declining
2016-01-16,HHS Region 9,declining
2016-01-16,US National,declining
2016-01-23,HHS Region 1,growing
2016-01-23,HHS Region 10,growing
2016-01-23,HHS Region 2,growing
2016-01-23,HHS Region 3,growing
2016-01-23,HHS Region 4,growing
2016-01-23,HHS Region 5,growing
2016-01-23,HHS Region 6,growing
2016-01-23,HHS Region 7,declining
2016-01-23,HHS Region 8,growing
2016-01-23,HHS Region 9,growing
2016-01-23,US National,growing
2016-01-30,HHS Region 1,growing
2016-01-30,HHS Region 10,growing
2016-01-30,HHS Region 2,growing
2016-01-30,HHS Region 3,declining
2016-01-30,HHS Region 4,growing
2016-01-30,HHS Region 5,growing
2016-01-30,HHS Region 6,growing
2016-01-30,HHS Region 7,growing
2016-01-30,HHS Region 8,growing
2016-01-30,HHS Region 9,growing
2016-01-30,US National,growing
2016-02-06,HHS Region 1,growing
2016-02-06,HHS Region 10,growing
2016-02-06,HHS Region 2,growing
2016-02-06,HHS Region 3,growing
2016-02-06,HHS Region 4,growing
2016-02-06,HHS Region 5,growing
2016-02-06,HHS Region 6,growing
2016-02-06,HHS Region 7,growing
2016-02-06,HHS Region 8,growing
2016-02-06,HHS Region 9,growing
2016-02-06,US National,growing
2016-02-13,HHS Region 1,growing
2016-02-13,HHS Region 10,growing
2016-02-13,HHS Region 2,growing
2016-02-13,HHS Region 3,growing
2016-02-13,HHS Region 4,growing
2016-02-13,HHS Region 5,growing
2016-02-13,HHS Region 6,growing
2016-02-13,HHS Region 7,growing
2016-02-13,HHS Region 8,growing
2016-02-13,HHS Region 9,growing
2016-02-13,US National,growing
2016-02-20,HHS Region 1,growing
2016-02-20,HHS Region 10,growing
2016-02-20,HHS Region 2,growing
2016-02-20,HHS Region 3,growing
2016-02-20,HHS Region 4,growing
2016-02-20,HHS Region 5,growing
2016-02-20,HHS Region 6,growing
2016-02-20,HHS Region 7,growing
2016-02-20,HHS Region 8,growing
2016-02-20,HHS Region 9,growing
2016-02-20,US National,growing
2016-02-27,HHS Region 1,peaking
2016-02-27,HHS Region 10,growing
2016-02-27,HHS Region 2,growing
2016-02-27,HHS Region 3,growing
2016-02-27,HHS Region 4,growing
2016-02-27,HHS Region 5,growing
2016-02-27,HHS Region 6,growing
2016-02-27,HHS Region 7,growing
2016-02-27,HHS Region 8,growing
2016-02-27,HHS Region 9,growing
2016-02-27,US National,growing
2016-03-05,HHS Region 1,peaking
2016-03-05,HHS Region 10,growing
2016-03-05,HHS Region 2,growing
2016-03-05,HHS Region 3,growing
2016-03-05,HHS Region 4,growing
2016-03-05,HHS Region 5,growing
2016-03-05,HHS Region 6,growing
2016-03-05,HHS Region 7,growing
2016-03-05,HHS Region 8,growing
2016-03-05,HHS Region 9,peaking
2016-03-05,US National,growing
2016-03-12,HHS Region 1,peaking
2016-03-12,HHS Region 10,growing
2016-03-12,HHS Region 2,growing
2016-03-12,HHS Region 3,growing
2016-03-12,HHS Region 4,growing
2016-03-12,HHS Region 5,growing
2016-03-12,HHS Region 6,growing
2016-03-12,HHS Region 7,growing
2016-03-12,HHS Region 8,peaking
2016-03-12,HHS Region 9,peaking
2016-03-12,US National,growing
2016-03-19,HHS Region 1,peaking
2016-03-19,HHS Region 10,declining
2016-03-19,HHS Region 2,growing
2016-03-19,HHS Region 3,declining
2016-03-19,HHS Region 4,peaking
2016-03-19,HHS Region 5,peaking
2016-03-19,HHS Region 6,declining
2016-03-19,HHS Region 7,declining
2016-03-19,HHS Region 8,peaking
2016-03-19,HHS Region 9,declining
2016-03-19,US National,declining
2016-03-26,HHS Region 1,peaking
2016-03-26,HHS Region 10,declining
2016-03-26,HHS Region 2,peaking
2016-03-26,HHS Region 3,declining
2016-03-26,HHS Region 4,peaking
2016-03-26,HHS Region 5,peaking
2016-03-26,HHS Region 6,declining
2016-03-26,HHS Region 7,declining
2016-03-26,HHS Region 8,declining
2016-03-26,HHS Region 9,declining
2016-03-26,US National,declining
2016-04-02,HHS Region 1,peaking
2016-04-02,HHS Region 10,declining
2016-04-02,HHS Region 2,declining
2016-04-02,HHS Region 3,declining
2016-04-02,HHS Region 4,declining
2016-04-02,HHS Region 5,declining
2016-04-02,HHS Region 6,declining
2016-04-02,HHS Region 7,declining
2016-04-02,HHS Region 8,declining
2016-04-02,HHS Region 9,declining
2016-04-02,US National,declining
2016-04-09,HHS Region 1,declining
2016-04-09,HHS Region 10,declining
2016-04-09,HHS Region 2,declining
2016-04-09,HHS Region 3,declining
2016-04-09,HHS Region 4,declining
2016-04-09,HHS Region 5,declining
2016-04-09,HHS Region 6,declining
2016-04-09,HHS Region 7,declining
2016-04-09,HHS Region 8,declining
2016-04-09,HHS Region 9,declining
2016-04-09,US National,declining
2016-04-16,HHS Region 1,declining
2016-04-16,HHS Region 10,declining
2016-04-16,HHS Region 2,declining
2016-04-16,HHS Region 3,declining
2016-04-16,HHS Region 4,declining
2016-04-16,HHS Region 5,declining
2016-04-16,HHS Region 6,declining
2016-04-16,HHS Region 7,declining
2016-04-16,HHS Region 8,declining
2016-04-16,HHS Region 9,declining
2016-04-16,US National,declining
2016-04-23,HHS Region 1,declining
2016-04-23,HHS Region 10,declining
2016-04-23,HHS Region 2,declining
2016-04-23,HHS Region 3,declining
2016-04-23,HHS Region 4,declining
2016-04-23,HHS Region 5,declining
2016-04-23,HHS Region 6,declining
2016-04-23,HHS Region 7,declining
2016-04-23,HHS Region 8,declining
2016-04-23,HHS Region 9,declining
2016-04-23,US National,declining
2016-04-30,HHS Region 1,declining
2016-04-30,HHS Region 10,declining
2016-04-30,HHS Region 2,declining
