pair,model_a,model_b,horizon,regime,wis_a,wis_b,disp_a,disp_b,n_a,n_b,diff,rel_diff,winner
ets_log vs ets_bc,ets_log,ets_bc,1,declining,0.16036738047620355,0.14822474909386188,0.09013076379796167,0.07891960292979776,201,201,0.012142631382341673,0.0757175888655454,b_wins
ets_log vs ets_bc,ets_log,ets_bc,1,growing,0.1912406835411753,0.18624886978249136,0.0942479367310138,0.08350535526332907,346,346,0.004991813758683933,0.0261022585061466,b_wins
ets_log vs ets_bc,ets_log,ets_bc,1,peaking,0.29495167132978245,0.2793912768047966,0.13186899249370265,0.10914360371724544,80,80,0.015560394524985866,0.05275574284706442,b_wins
ets_log vs ets_bc,ets_log,ets_bc,2,declining,0.2458801883511485,0.23148063997708643,0.12939136890538988,0.11835617734730557,201,201,0.014399548374062071,0.05856327209859489,b_wins
ets_log vs ets_bc,ets_log,ets_bc,2,growing,0.293430137866311,0.29062485231028196,0.1387459330733523,0.1289926325424884,346,346,0.002805285556029047,0.009560318433640774,tie
ets_log vs ets_bc,ets_log,ets_bc,2,peaking,0.4340417366847036,0.41632137479186515,0.19776889781351498,0.17012327295804164,80,80,0.017720361892838432,0.04082640077009656,b_wins
ets_log vs ets_bc,ets_log,ets_bc,3,declining,0.34424058630145266,0.32707124399923365,0.1637994719058361,0.1512505241769598,201,201,0.017169342302219004,0.04987599657172252,b_wins
ets_log vs ets_bc,ets_log,ets_bc,3,growing,0.389505261755936,0.3861324570521772,0.1801138828792697,0.16906780111109251,346,346,0.003372804703758836,0.008659201902828813,tie
ets_log vs ets_bc,ets_log,ets_bc,3,peaking,0.5241916195236254,0.49815053331317244,0.25573136850364986,0.22266092867257553,80,80,0.026041086210452924,0.04967856264874767,b_wins
ets_log vs ets_bc,ets_log,ets_bc,4,declining,0.43353288435761184,0.41370697698761355,0.19611984190363727,0.18108592686760344,201,201,0.019825907369998286,0.04573103468119924,b_wins
ets_log vs ets_bc,ets_log,ets_bc,4,growing,0.46439997354542706,0.4610621490805739,0.21964223193051183,0.20601692369188968,346,346,0.003337824464853145,0.007187391591284497,tie
ets_log vs ets_bc,ets_log,ets_bc,4,peaking,0.6584721692132132,0.6259332374182385,0.31085765409037713,0.27114407389950174,80,80,0.03253893179497469,0.04941580421516432,b_wins
arima_bc_bs vs arima_log,arima_bc_bs,arima_log,1,declining,0.13481245279009235,0.14413599681155628,0.07458503589584344,0.08416704414388079,201,201,-0.009323544021463931,-0.06468574282421312,a_wins
arima_bc_bs vs arima_log,arima_bc_bs,arima_log,1,growing,0.1903904226388289,0.19647970755228525,0.07916817069374146,0.08922521858615777,346,346,-0.006089284913456339,-0.030991927814407592,a_wins
arima_bc_bs vs arima_log,arima_bc_bs,arima_log,1,peaking,0.2552997878706729,0.2748701803695968,0.10358073220171705,0.12420969408033188,80,80,-0.019570392498923894,-0.07119867448920465,a_wins
arima_bc_bs vs arima_log,arima_bc_bs,arima_log,2,declining,0.19975614006472178,0.21293383130479532,0.10738980508172033,0.1186576782294356,201,201,-0.013177691240073536,-0.06188632008039566,a_wins
arima_bc_bs vs arima_log,arima_bc_bs,arima_log,2,growing,0.2839371996990768,0.29025937506407945,0.11749095220814994,0.12865706431561924,346,346,-0.006322175365002625,-0.02178112374012692,a_wins
arima_bc_bs vs arima_log,arima_bc_bs,arima_log,2,peaking,0.3697777357582273,0.3958237536324503,0.1529074347470556,0.17961774843616402,80,80,-0.026046017874223004,-0.0658020587071905,a_wins
arima_bc_bs vs arima_log,arima_bc_bs,arima_log,3,declining,0.28012536473725513,0.2956864664145053,0.13203747918189632,0.14380726673655234,201,201,-0.015561101677250166,-0.05262703385090335,a_wins
