method,model,regime,weight
log_score_bma,arima_bc_bs,declining,0.1655713476563906
log_score_bma,arima_bc_bs,growing,0.26106289643537267
log_score_bma,arima_bc_bs,peaking,0.19370624723459465
log_score_bma,bsts_seasonal,declining,0.034873600663647544
log_score_bma,bsts_seasonal,growing,0.014346323613561387
log_score_bma,bsts_seasonal,peaking,0.011251243022717844
log_score_bma,ets_bc,declining,0.10040229213646304
log_score_bma,ets_bc,growing,0.2085793641838751
log_score_bma,ets_bc,peaking,0.06732669222878403
log_score_bma,hist_week,declining,0.04466774781956235
log_score_bma,hist_week,growing,0.048148334359274784
log_score_bma,hist_week,peaking,0.005379874923921055
log_score_bma,nnetar_bc_bs,declining,0.28539343178765136
log_score_bma,nnetar_bc_bs,growing,0.25670610539974204
log_score_bma,nnetar_bc_bs,peaking,0.26292218058317646
log_score_bma,snaive_bc_bs,declining,0.020020143590223936
log_score_bma,snaive_bc_bs,growing,0.0010143635456213679
log_score_bma,snaive_bc_bs,peaking,0.0015318229825812466
log_score_bma,stl_arima_bc,declining,0.30040929217826284
log_score_bma,stl_arima_bc,growing,0.1985328631529645
log_score_bma,stl_arima_bc,peaking,0.44979810111537805
log_score_bma,tslm_fourier,declining,0.04866214416779833
log_score_bma,tslm_fourier,growing,0.011609749309588057
log_score_bma,tslm_fourier,peaking,0.008083837908846786
