model,regime,weight
arima_bc_bs,declining,0.14262850611788044
arima_bc_bs,growing,0.16152743238809109
arima_bc_bs,peaking,0.15542148316906415
bsts_seasonal,declining,0.09627001561027869
bsts_seasonal,growing,0.09543311143754978
bsts_seasonal,peaking,0.09911279995973685
ets_bc,declining,0.12352642550470866
ets_bc,growing,0.1533133171712738
ets_bc,peaking,0.12834473111810082
hist_week,declining,0.10151303968621479
hist_week,growing,0.11508578199078963
hist_week,peaking,0.09060264236472694
nnetar_bc_bs,declining,0.1714942633138404
nnetar_bc_bs,growing,0.1608811039952717
nnetar_bc_bs,peaking,0.16551646604012604
snaive_bc_bs,declining,0.08627841336715868
snaive_bc_bs,growing,0.06947475751357796
snaive_bc_bs,peaking,0.07904668334625853
stl_arima_bc,declining,0.17482650677431855
stl_arima_bc,growing,0.15161749990514864
stl_arima_bc,peaking,0.18684546712172528
tslm_fourier,declining,0.1034628296255999
tslm_fourier,growing,0.09266699559829746
tslm_fourier,peaking,0.09510972688026131
