model,regime,weight
arima_bc_bs,declining,0.1655713476563906
arima_bc_bs,growing,0.26106289643537267
arima_bc_bs,peaking,0.19370624723459465
bsts_seasonal,declining,0.034873600663647544
bsts_seasonal,growing,0.014346323613561387
bsts_seasonal,peaking,0.011251243022717844
ets_bc,declining,0.10040229213646304
ets_bc,growing,0.2085793641838751
ets_bc,peaking,0.06732669222878403
hist_week,declining,0.04466774781956235
hist_week,growing,0.048148334359274784
hist_week,peaking,0.005379874923921055
nnetar_bc_bs,declining,0.28539343178765136
nnetar_bc_bs,growing,0.25670610539974204
nnetar_bc_bs,peaking,0.26292218058317646
snaive_bc_bs,declining,0.020020143590223936
snaive_bc_bs,growing,0.0010143635456213679
snaive_bc_bs,peaking,0.0015318229825812466
stl_arima_bc,declining,0.30040929217826284
stl_arima_bc,growing,0.1985328631529645
stl_arima_bc,peaking,0.44979810111537805
tslm_fourier,declining,0.04866214416779833
tslm_fourier,growing,0.011609749309588057
tslm_fourier,peaking,0.008083837908846786
