model,regime,weight
nnetar_bc_bs,growing,0.368125298030561
stl_arima_bc,growing,0
arima_bc_bs,growing,0
ets_bc,growing,0.3431477337961793
hist_week,growing,0.18779224940879402
bsts_seasonal,growing,0
tslm_fourier,growing,0.1009347187644657
snaive_bc_bs,growing,0
nnetar_bc_bs,declining,0.2775268889021867
stl_arima_bc,declining,0.09563372840399427
arima_bc_bs,declining,0
ets_bc,declining,0.2785044015235327
hist_week,declining,0.0035924852972446957
bsts_seasonal,declining,0.08259541129318032
tslm_fourier,declining,0.2621470845798614
snaive_bc_bs,declining,0
nnetar_bc_bs,peaking,0.22842807985572533
stl_arima_bc,peaking,0.49746053744083796
arima_bc_bs,peaking,0
ets_bc,peaking,0.11887083625984726
hist_week,peaking,0
bsts_seasonal,peaking,0.06319010869623132
tslm_fourier,peaking,0.09205043774735826
snaive_bc_bs,peaking,0
