model_label,KR_snaive_bc,KR_ets_log,KR_arima_bc,KR_nnetar_bc,KR_tslm,KR_stl_arima,KR_hist_wk,KR_bsts,KR_ets_bc,KR_arima_log,KR_nnetar_log,adk_rwd,ata_snv,atsf_mean,atsf_meanNB,delphi_epi,efm_naive,hcr_rwd,slm_naive,syed_snv
KR_snaive_bc,1,0.147,0.281,0.322,0.722,0.554,0.778,0.029,0.138,0.283,0.319,0.16,0.988,0.536,0.537,0.562,0.159,0.16,0.149,0.999
KR_ets_log,0.147,1,0.939,0.654,-0.041,0.635,0.124,0.62,0.996,0.946,0.656,0.963,0.141,0.327,0.328,0.419,0.968,0.959,0.887,0.146
KR_arima_bc,0.281,0.939,1,0.725,0.168,0.744,0.303,0.598,0.941,0.984,0.724,0.942,0.272,0.513,0.514,0.523,0.948,0.938,0.869,0.279
KR_nnetar_bc,0.322,0.654,0.725,1,0.332,0.611,0.341,0.601,0.669,0.704,0.957,0.658,0.317,0.374,0.374,0.655,0.662,0.653,0.596,0.322
KR_tslm,0.722,-0.041,0.168,0.332,1,0.544,0.867,-0.002,-0.044,0.156,0.314,-0.019,0.711,0.634,0.634,0.589,-0.021,-0.023,-0.014,0.722
KR_stl_arima,0.554,0.635,0.744,0.611,0.544,1,0.591,0.491,0.63,0.736,0.613,0.647,0.543,0.675,0.676,0.641,0.651,0.644,0.615,0.55
KR_hist_wk,0.778,0.124,0.303,0.341,0.867,0.591,1,-0.006,0.114,0.296,0.333,0.143,0.766,0.7,0.7,0.585,0.143,0.14,0.134,0.777
KR_bsts,0.029,0.62,0.598,0.601,-0.002,0.491,-0.006,1,0.644,0.572,0.582,0.606,0.026,0.029,0.03,0.401,0.61,0.606,0.559,0.029
KR_ets_bc,0.138,0.996,0.941,0.669,-0.044,0.63,0.114,0.644,1,0.943,0.667,0.97,0.132,0.31,0.312,0.433,0.976,0.966,0.894,0.136
KR_arima_log,0.283,0.946,0.984,0.704,0.156,0.736,0.296,0.572,0.943,1,0.704,0.94,0.274,0.502,0.503,0.515,0.945,0.935,0.867,0.281
KR_nnetar_log,0.319,0.656,0.724,0.957,0.314,0.613,0.333,0.582,0.667,0.704,1,0.649,0.316,0.377,0.377,0.642,0.655,0.649,0.588,0.32
adk_rwd,0.16,0.963,0.942,0.658,-0.019,0.647,0.143,0.606,0.97,0.94,0.649,1,0.154,0.372,0.373,0.438,0.994,0.981,0.914,0.158
ata_snv,0.988,0.141,0.272,0.317,0.711,0.543,0.766,0.026,0.132,0.274,0.316,0.154,1,0.522,0.523,0.557,0.152,0.154,0.145,0.988
atsf_mean,0.536,0.327,0.513,0.374,0.634,0.675,0.7,0.029,0.31,0.502,0.377,0.372,0.522,1,0.998,0.368,0.374,0.367,0.345,0.531
atsf_meanNB,0.537,0.328,0.514,0.374,0.634,0.676,0.7,0.03,0.312,0.503,0.377,0.373,0.523,0.998,1,0.37,0.375,0.369,0.347,0.532
delphi_epi,0.562,0.419,0.523,0.655,0.589,0.641,0.585,0.401,0.433,0.515,0.642,0.438,0.557,0.368,0.37,1,0.439,0.43,0.393,0.562
efm_naive,0.159,0.968,0.948,0.662,-0.021,0.651,0.143,0.61,0.976,0.945,0.655,0.994,0.152,0.374,0.375,0.439,1,0.987,0.917,0.156
hcr_rwd,0.16,0.959,0.938,0.653,-0.023,0.644,0.14,0.606,0.966,0.935,0.649,0.981,0.154,0.367,0.369,0.43,0.987,1,0.908,0.158
slm_naive,0.149,0.887,0.869,0.596,-0.014,0.615,0.134,0.559,0.894,0.867,0.588,0.914,0.145,0.345,0.347,0.393,0.917,0.908,1,0.147
syed_snv,0.999,0.146,0.279,0.322,0.722,0.55,0.777,0.029,0.136,0.281,0.32,0.158,0.988,0.531,0.532,0.562,0.156,0.158,0.147,1
