model_label,KR_snaive_bc,KR_ets_log,KR_arima_bc,KR_nnetar_bc,KR_tslm,KR_stl_arima,KR_hist_wk,KR_bsts,KR_ets_bc,KR_arima_log,KR_nnetar_log,adk_rwd,ata_snv,atsf_mean,atsf_meanNB,delphi_epi,efm_naive,hcr_rwd,slm_naive,syed_snv
KR_snaive_bc,1,0.149,0.28,0.306,0.514,0.337,0.495,0.145,0.154,0.272,0.296,0.157,0.977,0.382,0.35,0.399,0.151,0.137,0.126,0.995
KR_ets_log,0.149,1,0.834,0.53,0.218,0.539,0.359,0.569,0.993,0.861,0.546,0.919,0.111,0.545,0.5,0.393,0.927,0.917,0.818,0.121
KR_arima_bc,0.28,0.834,1,0.612,0.31,0.737,0.487,0.447,0.842,0.966,0.622,0.865,0.237,0.692,0.666,0.426,0.865,0.85,0.761,0.254
KR_nnetar_bc,0.306,0.53,0.612,1,0.387,0.503,0.389,0.504,0.538,0.589,0.924,0.517,0.272,0.522,0.488,0.517,0.526,0.518,0.47,0.285
KR_tslm,0.514,0.218,0.31,0.387,1,0.424,0.698,0.226,0.227,0.304,0.377,0.214,0.469,0.544,0.516,0.456,0.216,0.206,0.186,0.503
KR_stl_arima,0.337,0.539,0.737,0.503,0.424,1,0.536,0.347,0.543,0.727,0.514,0.595,0.286,0.745,0.726,0.472,0.597,0.576,0.541,0.31
KR_hist_wk,0.495,0.359,0.487,0.389,0.698,0.536,1,0.239,0.357,0.483,0.403,0.353,0.45,0.716,0.698,0.442,0.345,0.335,0.296,0.483
KR_bsts,0.145,0.569,0.447,0.504,0.226,0.347,0.239,1,0.579,0.459,0.465,0.5,0.106,0.392,0.337,0.396,0.526,0.514,0.474,0.122
KR_ets_bc,0.154,0.993,0.842,0.538,0.227,0.543,0.357,0.579,1,0.86,0.549,0.934,0.117,0.536,0.495,0.405,0.942,0.933,0.83,0.127
KR_arima_log,0.272,0.861,0.966,0.589,0.304,0.727,0.483,0.459,0.86,1,0.593,0.879,0.229,0.678,0.646,0.455,0.881,0.865,0.77,0.246
KR_nnetar_log,0.296,0.546,0.622,0.924,0.377,0.514,0.403,0.465,0.549,0.593,1,0.514,0.262,0.544,0.509,0.503,0.521,0.514,0.464,0.273
adk_rwd,0.157,0.919,0.865,0.517,0.214,0.595,0.353,0.5,0.934,0.879,0.514,1,0.127,0.528,0.502,0.39,0.984,0.966,0.876,0.135
ata_snv,0.977,0.111,0.237,0.272,0.469,0.286,0.45,0.106,0.117,0.229,0.262,0.127,1,0.323,0.3,0.352,0.121,0.108,0.098,0.982
atsf_mean,0.382,0.545,0.692,0.522,0.544,0.745,0.716,0.392,0.536,0.678,0.544,0.528,0.323,1,0.966,0.421,0.519,0.501,0.462,0.354
atsf_meanNB,0.35,0.5,0.666,0.488,0.516,0.726,0.698,0.337,0.495,0.646,0.509,0.502,0.3,0.966,1,0.396,0.499,0.479,0.442,0.329
delphi_epi,0.399,0.393,0.426,0.517,0.456,0.472,0.442,0.396,0.405,0.455,0.503,0.39,0.352,0.421,0.396,1,0.406,0.39,0.353,0.382
efm_naive,0.151,0.927,0.865,0.526,0.216,0.597,0.345,0.526,0.942,0.881,0.521,0.984,0.121,0.519,0.499,0.406,1,0.981,0.884,0.128
hcr_rwd,0.137,0.917,0.85,0.518,0.206,0.576,0.335,0.514,0.933,0.865,0.514,0.966,0.108,0.501,0.479,0.39,0.981,1,0.868,0.115
slm_naive,0.126,0.818,0.761,0.47,0.186,0.541,0.296,0.474,0.83,0.77,0.464,0.876,0.098,0.462,0.442,0.353,0.884,0.868,1,0.105
syed_snv,0.995,0.121,0.254,0.285,0.503,0.31,0.483,0.122,0.127,0.246,0.273,0.135,0.982,0.354,0.329,0.382,0.128,0.115,0.105,1
