origin_date,target,horizon,location,output_type,output_type_id,target_end_date,value
2016-11-12,ili perc,1,HHS Region 1,quantile,0.01,2016-11-19,0.43935907420745207
2016-11-12,ili perc,1,HHS Region 1,quantile,0.025,2016-11-19,0.5656226690314324
2016-11-12,ili perc,1,HHS Region 1,quantile,0.05,2016-11-19,0.6291205223968601
2016-11-12,ili perc,1,HHS Region 1,quantile,0.1,2016-11-19,0.6994624524802521
2016-11-12,ili perc,1,HHS Region 1,quantile,0.15,2016-11-19,0.7321428671533676
2016-11-12,ili perc,1,HHS Region 1,quantile,0.2,2016-11-19,0.7652386121622138
2016-11-12,ili perc,1,HHS Region 1,quantile,0.25,2016-11-19,0.7919765399227234
2016-11-12,ili perc,1,HHS Region 1,quantile,0.3,2016-11-19,0.8116945412676769
2016-11-12,ili perc,1,HHS Region 1,quantile,0.35,2016-11-19,0.8303823875391568
2016-11-12,ili perc,1,HHS Region 1,quantile,0.4,2016-11-19,0.8540823809941069
2016-11-12,ili perc,1,HHS Region 1,quantile,0.45,2016-11-19,0.8741082653534067
2016-11-12,ili perc,1,HHS Region 1,quantile,0.5,2016-11-19,0.8981814501796564
2016-11-12,ili perc,1,HHS Region 1,quantile,0.55,2016-11-19,0.9164969741646709
2016-11-12,ili perc,1,HHS Region 1,quantile,0.6,2016-11-19,0.9400189574284329
2016-11-12,ili perc,1,HHS Region 1,quantile,0.65,2016-11-19,0.9609580250043205
2016-11-12,ili perc,1,HHS Region 1,quantile,0.7,2016-11-19,0.987949184551861
2016-11-12,ili perc,1,HHS Region 1,quantile,0.75,2016-11-19,1.0106072223348783
2016-11-12,ili perc,1,HHS Region 1,quantile,0.8,2016-11-19,1.0465624835128364
2016-11-12,ili perc,1,HHS Region 1,quantile,0.85,2016-11-19,1.1010902896787411
2016-11-12,ili perc,1,HHS Region 1,quantile,0.9,2016-11-19,1.1664944727598845
2016-11-12,ili perc,1,HHS Region 1,quantile,0.95,2016-11-19,1.5929686424630352
2016-11-12,ili perc,1,HHS Region 1,quantile,0.975,2016-11-19,1.770020544935729
2016-11-12,ili perc,1,HHS Region 1,quantile,0.99,2016-11-19,2.1452546288489702
2016-11-12,ili perc,2,HHS Region 1,quantile,0.01,2016-11-26,0.4175277613798485
2016-11-12,ili perc,2,HHS Region 1,quantile,0.025,2016-11-26,0.48983089228169613
2016-11-12,ili perc,2,HHS Region 1,quantile,0.05,2016-11-26,0.5719867245029051
2016-11-12,ili perc,2,HHS Region 1,quantile,0.1,2016-11-26,0.6573529853240873
2016-11-12,ili perc,2,HHS Region 1,quantile,0.15,2016-11-26,0.7091943350059258
2016-11-12,ili perc,2,HHS Region 1,quantile,0.2,2016-11-26,0.7561260857758372
2016-11-12,ili perc,2,HHS Region 1,quantile,0.25,2016-11-26,0.7940423430920681
2016-11-12,ili perc,2,HHS Region 1,quantile,0.3,2016-11-26,0.8267182165654571
2016-11-12,ili perc,2,HHS Region 1,quantile,0.35,2016-11-26,0.8578477834547261
2016-11-12,ili perc,2,HHS Region 1,quantile,0.4,2016-11-26,0.8877325882190261
2016-11-12,ili perc,2,HHS Region 1,quantile,0.45,2016-11-26,0.9200771880209766
2016-11-12,ili perc,2,HHS Region 1,quantile,0.5,2016-11-26,0.9494638596496078
