origin_date,target,horizon,location,output_type,output_type_id,target_end_date,value
2017-12-16,ili perc,1,HHS Region 1,quantile,0.01,2017-12-23,0.8775904731067121
2017-12-16,ili perc,1,HHS Region 1,quantile,0.025,2017-12-23,1.0342715678730152
2017-12-16,ili perc,1,HHS Region 1,quantile,0.05,2017-12-23,1.1355266543295282
2017-12-16,ili perc,1,HHS Region 1,quantile,0.1,2017-12-23,1.245084354993301
2017-12-16,ili perc,1,HHS Region 1,quantile,0.15,2017-12-23,1.320112266168234
2017-12-16,ili perc,1,HHS Region 1,quantile,0.2,2017-12-23,1.4007934905651218
2017-12-16,ili perc,1,HHS Region 1,quantile,0.25,2017-12-23,1.4642215953904731
2017-12-16,ili perc,1,HHS Region 1,quantile,0.3,2017-12-23,1.5294742761910267
2017-12-16,ili perc,1,HHS Region 1,quantile,0.35,2017-12-23,1.5878984144303467
2017-12-16,ili perc,1,HHS Region 1,quantile,0.4,2017-12-23,1.6463426615660897
2017-12-16,ili perc,1,HHS Region 1,quantile,0.45,2017-12-23,1.7031135600292624
2017-12-16,ili perc,1,HHS Region 1,quantile,0.5,2017-12-23,1.7558317978399356
2017-12-16,ili perc,1,HHS Region 1,quantile,0.55,2017-12-23,1.8189426728330047
2017-12-16,ili perc,1,HHS Region 1,quantile,0.6,2017-12-23,1.878292372767503
2017-12-16,ili perc,1,HHS Region 1,quantile,0.65,2017-12-23,1.9437365199046222
2017-12-16,ili perc,1,HHS Region 1,quantile,0.7,2017-12-23,2.0036438046297125
2017-12-16,ili perc,1,HHS Region 1,quantile,0.75,2017-12-23,2.070470420322206
2017-12-16,ili perc,1,HHS Region 1,quantile,0.8,2017-12-23,2.1850451736166083
2017-12-16,ili perc,1,HHS Region 1,quantile,0.85,2017-12-23,2.3148982114771477
2017-12-16,ili perc,1,HHS Region 1,quantile,0.9,2017-12-23,2.6521455196288084
2017-12-16,ili perc,1,HHS Region 1,quantile,0.95,2017-12-23,3.7280776971993355
2017-12-16,ili perc,1,HHS Region 1,quantile,0.975,2017-12-23,4.223648663363533
2017-12-16,ili perc,1,HHS Region 1,quantile,0.99,2017-12-23,4.6953361244043315
2017-12-16,ili perc,2,HHS Region 1,quantile,0.01,2017-12-30,0.6749228496500287
2017-12-16,ili perc,2,HHS Region 1,quantile,0.025,2017-12-30,0.898253270603914
2017-12-16,ili perc,2,HHS Region 1,quantile,0.05,2017-12-30,1.0428027008569927
2017-12-16,ili perc,2,HHS Region 1,quantile,0.1,2017-12-30,1.2110171019098446
2017-12-16,ili perc,2,HHS Region 1,quantile,0.15,2017-12-30,1.3295135938251874
2017-12-16,ili perc,2,HHS Region 1,quantile,0.2,2017-12-30,1.4357262914639641
2017-12-16,ili perc,2,HHS Region 1,quantile,0.25,2017-12-30,1.5265108287294336
2017-12-16,ili perc,2,HHS Region 1,quantile,0.3,2017-12-30,1.6108656401189148
2017-12-16,ili perc,2,HHS Region 1,quantile,0.35,2017-12-30,1.7037574855707263
2017-12-16,ili perc,2,HHS Region 1,quantile,0.4,2017-12-30,1.776365142651237
2017-12-16,ili perc,2,HHS Region 1,quantile,0.45,2017-12-30,1.8578055068268053
2017-12-16,ili perc,2,HHS Region 1,quantile,0.5,2017-12-30,1.9330327031113537
2017-12-16,ili perc,2,HHS Region 1,quantile,0.55,2017-12-30,2.0144255579723445
2017-12-16,ili perc,2,HHS Region 1,quantile,0.6,2017-12-30,2.101629871192204
2017-12-16,ili perc,2,HHS Region 1,quantile,0.65,2017-12-30,2.176468357611444
2017-12-16,ili perc,2,HHS Region 1,quantile,0.7,2017-12-30,2.2935816510688305
2017-12-16,ili perc,2,HHS Region 1,quantile,0.75,2017-12-30,2.3998031807800633
2017-12-16,ili perc,2,HHS Region 1,quantile,0.8,2017-12-30,2.535176578336419
2017-12-16,ili perc,2,HHS Region 1,quantile,0.85,2017-12-30,2.8879935277602335
2017-12-16,ili perc,2,HHS Region 1,quantile,0.9,2017-12-30,3.127832404773718
2017-12-16,ili perc,2,HHS Region 1,quantile,0.95,2017-12-30,3.966177925566635
2017-12-16,ili perc,2,HHS Region 1,quantile,0.975,2017-12-30,4.516218619689498
2017-12-16,ili perc,2,HHS Region 1,quantile,0.99,2017-12-30,5.041560354547206
2017-12-16,ili perc,3,HHS Region 1,quantile,0.01,2018-01-06,0.6829966723858985
2017-12-16,ili perc,3,HHS Region 1,quantile,0.025,2018-01-06,0.8774253020832163
2017-12-16,ili perc,3,HHS Region 1,quantile,0.05,2018-01-06,0.989390388827619
2017-12-16,ili perc,3,HHS Region 1,quantile,0.1,2018-01-06,1.162498453391827
2017-12-16,ili perc,3,HHS Region 1,quantile,0.15,2018-01-06,1.2832617379764866
2017-12-16,ili perc,3,HHS Region 1,quantile,0.2,2018-01-06,1.3903172467911329
2017-12-16,ili perc,3,HHS Region 1,quantile,0.25,2018-01-06,1.4948175321349235
2017-12-16,ili perc,3,HHS Region 1,quantile,0.3,2018-01-06,1.5818097517979293
2017-12-16,ili perc,3,HHS Region 1,quantile,0.35,2018-01-06,1.664521044021043
2017-12-16,ili perc,3,HHS Region 1,quantile,0.4,2018-01-06,1.7653171936608727
2017-12-16,ili perc,3,HHS Region 1,quantile,0.45,2018-01-06,1.8501492687095238
2017-12-16,ili perc,3,HHS Region 1,quantile,0.5,2018-01-06,1.9461145170258471
2017-12-16,ili perc,3,HHS Region 1,quantile,0.55,2018-01-06,2.027260458461837
2017-12-16,ili perc,3,HHS Region 1,quantile,0.6,2018-01-06,2.1158650333934275
2017-12-16,ili perc,3,HHS Region 1,quantile,0.65,2018-01-06,2.206176945740203
2017-12-16,ili perc,3,HHS Region 1,quantile,0.7,2018-01-06,2.301847646193143
2017-12-16,ili perc,3,HHS Region 1,quantile,0.75,2018-01-06,2.4591410230993134
2017-12-16,ili perc,3,HHS Region 1,quantile,0.8,2018-01-06,2.616458827082001
2017-12-16,ili perc,3,HHS Region 1,quantile,0.85,2018-01-06,2.790450979286265
2017-12-16,ili perc,3,HHS Region 1,quantile,0.9,2018-01-06,3.138999199481702
2017-12-16,ili perc,3,HHS Region 1,quantile,0.95,2018-01-06,4.024684937621926
2017-12-16,ili perc,3,HHS Region 1,quantile,0.975,2018-01-06,4.632039242999512
2017-12-16,ili perc,3,HHS Region 1,quantile,0.99,2018-01-06,5.3138921485499315
2017-12-16,ili perc,4,HHS Region 1,quantile,0.01,2018-01-13,0.592787253211305
2017-12-16,ili perc,4,HHS Region 1,quantile,0.025,2018-01-13,0.7664241718218716
2017-12-16,ili perc,4,HHS Region 1,quantile,0.05,2018-01-13,0.8791809499303095
2017-12-16,ili perc,4,HHS Region 1,quantile,0.1,2018-01-13,1.0305739000473908
2017-12-16,ili perc,4,HHS Region 1,quantile,0.15,2018-01-13,1.1615368697165285
2017-12-16,ili perc,4,HHS Region 1,quantile,0.2,2018-01-13,1.2721923906187356
2017-12-16,ili perc,4,HHS Region 1,quantile,0.25,2018-01-13,1.4061056619369874
2017-12-16,ili perc,4,HHS Region 1,quantile,0.3,2018-01-13,1.5214113535344398
2017-12-16,ili perc,4,HHS Region 1,quantile,0.35,2018-01-13,1.629925727127413
2017-12-16,ili perc,4,HHS Region 1,quantile,0.4,2018-01-13,1.7437292066012895
2017-12-16,ili perc,4,HHS Region 1,quantile,0.45,2018-01-13,1.8563385278141409
2017-12-16,ili perc,4,HHS Region 1,quantile,0.5,2018-01-13,1.9475381745825833
2017-12-16,ili perc,4,HHS Region 1,quantile,0.55,2018-01-13,2.056799293873995
2017-12-16,ili perc,4,HHS Region 1,quantile,0.6,2018-01-13,2.1576768824879586
2017-12-16,ili perc,4,HHS Region 1,quantile,0.65,2018-01-13,2.2699543328127936
2017-12-16,ili perc,4,HHS Region 1,quantile,0.7,2018-01-13,2.381696158869144
2017-12-16,ili perc,4,HHS Region 1,quantile,0.75,2018-01-13,2.5532563309146115
2017-12-16,ili perc,4,HHS Region 1,quantile,0.8,2018-01-13,2.7241552462567995
2017-12-16,ili perc,4,HHS Region 1,quantile,0.85,2018-01-13,2.896660309861085
2017-12-16,ili perc,4,HHS Region 1,quantile,0.9,2018-01-13,3.2936191536326707
2017-12-16,ili perc,4,HHS Region 1,quantile,0.95,2018-01-13,4.094154325073501
2017-12-16,ili perc,4,HHS Region 1,quantile,0.975,2018-01-13,4.742697197064775
2017-12-16,ili perc,4,HHS Region 1,quantile,0.99,2018-01-13,5.539578235519711
2017-12-16,ili perc,1,HHS Region 10,quantile,0.01,2017-12-23,0.4397111695574132
2017-12-16,ili perc,1,HHS Region 10,quantile,0.025,2017-12-23,0.5852829463803505
2017-12-16,ili perc,1,HHS Region 10,quantile,0.05,2017-12-23,0.6984010062698045
2017-12-16,ili perc,1,HHS Region 10,quantile,0.1,2017-12-23,0.8826972484173694
2017-12-16,ili perc,1,HHS Region 10,quantile,0.15,2017-12-23,0.9917782857296479
2017-12-16,ili perc,1,HHS Region 10,quantile,0.2,2017-12-23,1.0814390777315865
2017-12-16,ili perc,1,HHS Region 10,quantile,0.25,2017-12-23,1.191145468117596
2017-12-16,ili perc,1,HHS Region 10,quantile,0.3,2017-12-23,1.2781827126547471
2017-12-16,ili perc,1,HHS Region 10,quantile,0.35,2017-12-23,1.3532310781002435
2017-12-16,ili perc,1,HHS Region 10,quantile,0.4,2017-12-23,1.433793570164564
2017-12-16,ili perc,1,HHS Region 10,quantile,0.45,2017-12-23,1.506956749905899
2017-12-16,ili perc,1,HHS Region 10,quantile,0.5,2017-12-23,1.6174014103636516
2017-12-16,ili perc,1,HHS Region 10,quantile,0.55,2017-12-23,1.6982071330822475
2017-12-16,ili perc,1,HHS Region 10,quantile,0.6,2017-12-23,1.8003217408004244
2017-12-16,ili perc,1,HHS Region 10,quantile,0.65,2017-12-23,1.9100562552726175
2017-12-16,ili perc,1,HHS Region 10,quantile,0.7,2017-12-23,1.9939011396325668
2017-12-16,ili perc,1,HHS Region 10,quantile,0.75,2017-12-23,2.104626504521715
2017-12-16,ili perc,1,HHS Region 10,quantile,0.8,2017-12-23,2.2485796083174394
2017-12-16,ili perc,1,HHS Region 10,quantile,0.85,2017-12-23,2.4492859197723993
2017-12-16,ili perc,1,HHS Region 10,quantile,0.9,2017-12-23,2.8216321805772973
2017-12-16,ili perc,1,HHS Region 10,quantile,0.95,2017-12-23,4.106791149437597
2017-12-16,ili perc,1,HHS Region 10,quantile,0.975,2017-12-23,5.067876119360624
2017-12-16,ili perc,1,HHS Region 10,quantile,0.99,2017-12-23,6.463910135988876
