origin_date,target,horizon,location,output_type,output_type_id,target_end_date,value
2019-04-06,ili perc,1,HHS Region 1,quantile,0.01,2019-04-13,0.9691599107209399
2019-04-06,ili perc,1,HHS Region 1,quantile,0.025,2019-04-13,1.1138232914520205
2019-04-06,ili perc,1,HHS Region 1,quantile,0.05,2019-04-13,1.276165135004089
2019-04-06,ili perc,1,HHS Region 1,quantile,0.1,2019-04-13,1.4589869546729028
2019-04-06,ili perc,1,HHS Region 1,quantile,0.15,2019-04-13,1.5556575785238422
2019-04-06,ili perc,1,HHS Region 1,quantile,0.2,2019-04-13,1.6579401081638205
2019-04-06,ili perc,1,HHS Region 1,quantile,0.25,2019-04-13,1.720660784080414
2019-04-06,ili perc,1,HHS Region 1,quantile,0.3,2019-04-13,1.7845546268943868
2019-04-06,ili perc,1,HHS Region 1,quantile,0.35,2019-04-13,1.8393605799662376
2019-04-06,ili perc,1,HHS Region 1,quantile,0.4,2019-04-13,1.8977216590525248
2019-04-06,ili perc,1,HHS Region 1,quantile,0.45,2019-04-13,1.9677038966918274
2019-04-06,ili perc,1,HHS Region 1,quantile,0.5,2019-04-13,2.0321374729593846
2019-04-06,ili perc,1,HHS Region 1,quantile,0.55,2019-04-13,2.0944146746849177
2019-04-06,ili perc,1,HHS Region 1,quantile,0.6,2019-04-13,2.145509231127191
2019-04-06,ili perc,1,HHS Region 1,quantile,0.65,2019-04-13,2.2057764723297186
2019-04-06,ili perc,1,HHS Region 1,quantile,0.7,2019-04-13,2.2707366368907107
2019-04-06,ili perc,1,HHS Region 1,quantile,0.75,2019-04-13,2.343782904222631
2019-04-06,ili perc,1,HHS Region 1,quantile,0.8,2019-04-13,2.4568452067297835
2019-04-06,ili perc,1,HHS Region 1,quantile,0.85,2019-04-13,2.5800894959765723
2019-04-06,ili perc,1,HHS Region 1,quantile,0.9,2019-04-13,2.768184514201608
2019-04-06,ili perc,1,HHS Region 1,quantile,0.95,2019-04-13,3.044362747805037
2019-04-06,ili perc,1,HHS Region 1,quantile,0.975,2019-04-13,3.356792050077041
2019-04-06,ili perc,1,HHS Region 1,quantile,0.99,2019-04-13,3.812390198632665
2019-04-06,ili perc,2,HHS Region 1,quantile,0.01,2019-04-20,0.69054021027358925
2019-04-06,ili perc,2,HHS Region 1,quantile,0.025,2019-04-20,0.8349249913396862
2019-04-06,ili perc,2,HHS Region 1,quantile,0.05,2019-04-20,0.9940104644393409
2019-04-06,ili perc,2,HHS Region 1,quantile,0.1,2019-04-20,1.1761684696449362
2019-04-06,ili perc,2,HHS Region 1,quantile,0.15,2019-04-20,1.3018767639964701
2019-04-06,ili perc,2,HHS Region 1,quantile,0.2,2019-04-20,1.4014781623308794
2019-04-06,ili perc,2,HHS Region 1,quantile,0.25,2019-04-20,1.513802334757672
2019-04-06,ili perc,2,HHS Region 1,quantile,0.3,2019-04-20,1.5864113479878355
2019-04-06,ili perc,2,HHS Region 1,quantile,0.35,2019-04-20,1.6586985152944973
2019-04-06,ili perc,2,HHS Region 1,quantile,0.4,2019-04-20,1.7230364549750392
2019-04-06,ili perc,2,HHS Region 1,quantile,0.45,2019-04-20,1.786171193290578
2019-04-06,ili perc,2,HHS Region 1,quantile,0.5,2019-04-20,1.8640648717393338
2019-04-06,ili perc,2,HHS Region 1,quantile,0.55,2019-04-20,1.929343445293314
2019-04-06,ili perc,2,HHS Region 1,quantile,0.6,2019-04-20,2.007776930878794
2019-04-06,ili perc,2,HHS Region 1,quantile,0.65,2019-04-20,2.087500924073292
2019-04-06,ili perc,2,HHS Region 1,quantile,0.7,2019-04-20,2.1922452858913104
2019-04-06,ili perc,2,HHS Region 1,quantile,0.75,2019-04-20,2.3097847353416388
2019-04-06,ili perc,2,HHS Region 1,quantile,0.8,2019-04-20,2.422734136983362
2019-04-06,ili perc,2,HHS Region 1,quantile,0.85,2019-04-20,2.5698587792259993
2019-04-06,ili perc,2,HHS Region 1,quantile,0.9,2019-04-20,2.8039972056206346
2019-04-06,ili perc,2,HHS Region 1,quantile,0.95,2019-04-20,3.182058278098793
2019-04-06,ili perc,2,HHS Region 1,quantile,0.975,2019-04-20,3.614597404328558
2019-04-06,ili perc,2,HHS Region 1,quantile,0.99,2019-04-20,4.274815003021317
2019-04-06,ili perc,3,HHS Region 1,quantile,0.01,2019-04-27,0.5033896827380444
2019-04-06,ili perc,3,HHS Region 1,quantile,0.025,2019-04-27,0.628484883873536
2019-04-06,ili perc,3,HHS Region 1,quantile,0.05,2019-04-27,0.7461781714362794
2019-04-06,ili perc,3,HHS Region 1,quantile,0.1,2019-04-27,0.9139630773564424
2019-04-06,ili perc,3,HHS Region 1,quantile,0.15,2019-04-27,1.052466331120257
2019-04-06,ili perc,3,HHS Region 1,quantile,0.2,2019-04-27,1.1695490971287028
2019-04-06,ili perc,3,HHS Region 1,quantile,0.25,2019-04-27,1.2516164051619427
2019-04-06,ili perc,3,HHS Region 1,quantile,0.3,2019-04-27,1.333803119175932
2019-04-06,ili perc,3,HHS Region 1,quantile,0.35,2019-04-27,1.4209833086231518
2019-04-06,ili perc,3,HHS Region 1,quantile,0.4,2019-04-27,1.4935862974315044
2019-04-06,ili perc,3,HHS Region 1,quantile,0.45,2019-04-27,1.5631842619358876
2019-04-06,ili perc,3,HHS Region 1,quantile,0.5,2019-04-27,1.6363019267921182
2019-04-06,ili perc,3,HHS Region 1,quantile,0.55,2019-04-27,1.7243773318340694
2019-04-06,ili perc,3,HHS Region 1,quantile,0.6,2019-04-27,1.7935958849504776
2019-04-06,ili perc,3,HHS Region 1,quantile,0.65,2019-04-27,1.8870724962962198
2019-04-06,ili perc,3,HHS Region 1,quantile,0.7,2019-04-27,2.0126749770407195
2019-04-06,ili perc,3,HHS Region 1,quantile,0.75,2019-04-27,2.1217887234349564
