model,regime,weight
KReger-arima_bc_bs,declining,0.11899397645241858
KReger-arima_bc_bs,growing,0.1336427311736912
KReger-arima_bc_bs,peaking,0.12856860334085302
KReger-bsts_seasonal,declining,0.0803174083667091
KReger-bsts_seasonal,growing,0.07895836309880999
KReger-bsts_seasonal,peaking,0.08198862862583406
KReger-hist_week,declining,0.08469162710048571
KReger-hist_week,growing,0.09521836629926568
KReger-hist_week,peaking,0.07494880984472775
KReger-nnetar_bc_bs,declining,0.14307647808935245
KReger-nnetar_bc_bs,growing,0.13310797933386775
KReger-nnetar_bc_bs,peaking,0.1369194298933859
KReger-snaive_bc_bs,declining,0.07198148370199225
KReger-snaive_bc_bs,growing,0.05748123525814813
KReger-snaive_bc_bs,peaking,0.06538942666954295
KReger-stl_arima_bc,declining,0.14585654576770385
KReger-stl_arima_bc,growing,0.12544356386701797
KReger-stl_arima_bc,peaking,0.1545633219976313
KReger-tslm_fourier,declining,0.08631832336513422
KReger-tslm_fourier,growing,0.07666976561394252
KReger-tslm_fourier,peaking,0.07867718477389442
atsf-meannonbs,declining,0.0650311152541569
atsf-meannonbs,growing,0.06678477847192782
atsf-meannonbs,peaking,0.058342435019636235
delphi-epicast,declining,0.12300571763228586
delphi-epicast,growing,0.12331645157909908
delphi-epicast,peaking,0.129228402252283
slm854-naivebs,declining,0.08072732426976095
slm854-naivebs,growing,0.10937676530422998
slm854-naivebs,peaking,0.09137375758221135
