model,regime,weight
KReger-arima_bc_bs,declining,0.1345045528402603
KReger-arima_bc_bs,growing,0.2792726166510504
KReger-arima_bc_bs,peaking,0.13823974374516684
KReger-bsts_seasonal,declining,0.013001827346564403
KReger-bsts_seasonal,growing,0.0035976719544948133
KReger-bsts_seasonal,peaking,0.0019351660534381863
KReger-hist_week,declining,0.018847349879562266
KReger-hist_week,growing,0.022119867830190116
KReger-hist_week,peaking,6.398464243929157e-4
KReger-nnetar_bc_bs,declining,0.30438634805741077
KReger-nnetar_bc_bs,growing,0.2723108356168593
KReger-nnetar_bc_bs,peaking,0.21860410714282236
KReger-snaive_bc_bs,declining,0.005655356558655325
KReger-snaive_bc_bs,growing,6.763960700347016e-5
KReger-snaive_bc_bs,peaking,9.721434417218075e-5
KReger-stl_arima_bc,declining,0.3287223647467727
KReger-stl_arima_bc,growing,0.18520778370329707
KReger-stl_arima_bc,peaking,0.48915208098979135
KReger-tslm_fourier,declining,0.02143117936216428
KReger-tslm_fourier,growing,0.002619056631005851
KReger-tslm_fourier,peaking,0.0011785387705464173
atsf-meannonbs,declining,0.002399664040229495
atsf-meannonbs,growing,5.17691669801678e-4
atsf-meannonbs,peaking,1.632111963838452e-5
delphi-epicast,declining,0.15756616682271948
delphi-epicast,growing,0.16500988427738475
delphi-epicast,peaking,0.14364608448645386
slm854-naivebs,declining,0.013485190345660833
slm854-naivebs,growing,0.06927695205891243
slm854-naivebs,peaking,0.006490896923577697
