model,regime,weight
KReger-nnetar_bc_bs,growing,0.2560923973917663
KReger-stl_arima_bc,growing,0
KReger-arima_bc_bs,growing,0.13166129581149916
delphi-epicast,growing,0.3546683944622657
slm854-naivebs,growing,0.11432463984349897
KReger-hist_week,growing,0.1432532724909699
KReger-bsts_seasonal,growing,0
KReger-tslm_fourier,growing,0
atsf-meannonbs,growing,0
KReger-snaive_bc_bs,growing,0
KReger-nnetar_bc_bs,declining,0
KReger-stl_arima_bc,declining,0.18383034664071857
KReger-arima_bc_bs,declining,0.05487965122834095
delphi-epicast,declining,0.6209605613661313
slm854-naivebs,declining,0.05002158322036635
KReger-hist_week,declining,0
KReger-bsts_seasonal,declining,0.09030785754444284
KReger-tslm_fourier,declining,0
atsf-meannonbs,declining,0
KReger-snaive_bc_bs,declining,0
KReger-nnetar_bc_bs,peaking,0.09029724548859608
KReger-stl_arima_bc,peaking,0.3093577884937814
KReger-arima_bc_bs,peaking,0.05401489988628493
delphi-epicast,peaking,0.4390305202921218
slm854-naivebs,peaking,0.058340278685272674
KReger-hist_week,peaking,0
KReger-bsts_seasonal,peaking,0.048959267153943095
KReger-tslm_fourier,peaking,0
atsf-meannonbs,peaking,0
KReger-snaive_bc_bs,peaking,0
