origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.01,0.5371836179398924
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.025,0.5699045394712339
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.05,0.687584203784087
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.1,0.7745313861549185
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.15,0.8115532407259299
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.2,0.8677942594148021
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.25,0.9053561871754896
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.3,0.9268070134951548
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.35,0.9562258615063514
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.4,0.9952534698436197
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.45,1.0265330064613654
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.5,1.0435914378559694
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.55,1.0753881455892167
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.6,1.102418902612727
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.65,1.1307638843728434
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.7,1.1664736513394571
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.75,1.2046715119758034
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.8,1.252334359865317
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.85,1.3272638170491253
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.9,1.4307454175262335
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.95,1.7031053345410256
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.975,1.9205162276771544
2016-12-17,HHS Region 1,ili perc,1,2016-12-24,quantile,0.99,3.0605292510657662
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.01,0.35713135873420637
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.025,0.47309559296641807
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.05,0.5584381116514565
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.1,0.6753375991767816
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.15,0.7433840765479441
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.2,0.8034242211379876
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.25,0.8491060847814579
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.3,0.8869028538009296
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.35,0.928808587877106
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.4,0.9709511584734402
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.45,1.004460948972378
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.5,1.045902144968026
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.55,1.093413429666569
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.6,1.137176524431479
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.65,1.1923209551868512
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.7,1.2567730540981594
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.75,1.3061082555928014
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.8,1.3814666916651461
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.85,1.4976271340345773
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.9,1.6607600478617548
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.95,1.9985675049284861
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.975,2.3867772023455522
2016-12-17,HHS Region 1,ili perc,2,2016-12-31,quantile,0.99,3.0308180579636845
2016-12-17,HHS Region 1,ili perc,3,2017-01-07,quantile,0.01,0.2962883433564085
2016-12-17,HHS Region 1,ili perc,3,2017-01-07,quantile,0.025,0.40707442783901376
2016-12-17,HHS Region 1,ili perc,3,2017-01-07,quantile,0.05,0.49735333029833717
2016-12-17,HHS Region 1,ili perc,3,2017-01-07,quantile,0.1,0.6266818090556244
2016-12-17,HHS Region 1,ili perc,3,2017-01-07,quantile,0.15,0.7014113272247606
2016-12-17,HHS Region 1,ili perc,3,2017-01-07,quantile,0.2,0.7453857623673396
2016-12-17,HHS Region 1,ili perc,3,2017-01-07,quantile,0.25,0.7923837132555462
2016-12-17,HHS Region 1,ili perc,3,2017-01-07,quantile,0.3,0.8507040613807656
2016-12-17,HHS Region 1,ili perc,3,2017-01-07,quantile,0.35,0.9067569364021432
2016-12-17,HHS Region 1,ili perc,3,2017-01-07,quantile,0.4,0.9649403414431409
2016-12-17,HHS Region 1,ili perc,3,2017-01-07,quantile,0.45,1.0111168104009784
2016-12-17,HHS Region 1,ili perc,3,2017-01-07,quantile,0.5,1.0578347799302468
2016-12-17,HHS Region 1,ili perc,3,2017-01-07,quantile,0.55,1.1140729489939252
2016-12-17,HHS Region 1,ili perc,3,2017-01-07,quantile,0.6,1.1875335791202242
2016-12-17,HHS Region 1,ili perc,3,2017-01-07,quantile,0.65,1.2559943274451864
2016-12-17,HHS Region 1,ili perc,3,2017-01-07,quantile,0.7,1.3311620494014167
2016-12-17,HHS Region 1,ili perc,3,2017-01-07,quantile,0.75,1.413584339374865
2016-12-17,HHS Region 1,ili perc,3,2017-01-07,quantile,0.8,1.489813670865182
