origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.01,1.6016478096788116
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.025,1.8451457214176938
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.05,2.08242552578611
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.1,2.352305102682687
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.15,2.52378066014005
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.2,2.6879327529651484
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.25,2.8059361902555358
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.3,2.8706527155761994
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.35,2.9585032845684625
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.4,3.033246699570233
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.45,3.100953111205966
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.5,3.1939842643197127
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.55,3.259436182657137
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.6,3.3595101330234383
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.65,3.461314597504741
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.7,3.5689084537754727
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.75,3.675577933979838
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.8,3.8300995452203312
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.85,3.9965006996927106
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.9,4.2414819755875115
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.95,4.789409957794612
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.975,5.636036281007867
2019-01-05,HHS Region 1,ili perc,1,2019-01-12,quantile,0.99,7.366417378479838
2019-01-05,HHS Region 1,ili perc,2,2019-01-19,quantile,0.01,1.1448443233458403
2019-01-05,HHS Region 1,ili perc,2,2019-01-19,quantile,0.025,1.4775169362863234
2019-01-05,HHS Region 1,ili perc,2,2019-01-19,quantile,0.05,1.779897855540748
2019-01-05,HHS Region 1,ili perc,2,2019-01-19,quantile,0.1,2.0370587805570386
2019-01-05,HHS Region 1,ili perc,2,2019-01-19,quantile,0.15,2.2358108096734552
2019-01-05,HHS Region 1,ili perc,2,2019-01-19,quantile,0.2,2.4112750260094353
2019-01-05,HHS Region 1,ili perc,2,2019-01-19,quantile,0.25,2.554160803121853
