origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.01,0.546139379862828
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.025,0.546139379862828
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.05,0.546139379862828
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.1,0.81910555302019
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.15,0.81910555302019
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.2,0.949344
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.25,1.50586
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.3,1.50586
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.35,1.51917313442978
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.4,1.51917313442978
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.45,1.78771
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.5,1.78854719965587
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.55,1.78854719965587
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.6,2.11790210233673
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.65,2.32248
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.7,2.32248
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.75,2.93637
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.8,2.93637
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.85,3.01494220232588
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.9,3.01494220232588
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.95,3.98496814460529
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.975,3.98496814460529
2016-02-20,HHS Region 1,ili perc,1,2016-02-27,quantile,0.99,3.98496814460529
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.01,0.449425172583095
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.025,0.449425172583095
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.05,0.449425172583095
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.1,0.658078800681888
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.15,0.658078800681888
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.2,0.803368
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.25,0.803368
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.3,1.19107720266932
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.35,1.3262100000000001
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.4,1.3262100000000001
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.45,1.51318
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.5,1.51318
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.55,1.66031488589725
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.6,1.66031488589725
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.65,1.75247
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.7,1.8100639999999912
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.75,1.94445
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.8,2.22035832458063
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.85,2.74620641710106
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.9,2.74620641710106
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.95,3.1772050067161
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.975,3.1772050067161
2016-02-20,HHS Region 1,ili perc,2,2016-03-05,quantile,0.99,3.1772050067161
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.01,0.406700959703389
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.025,0.406700959703389
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.05,0.406700959703389
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.1,0.76008623760335
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.15,0.76008623760335
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.2,0.774284
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.25,0.898683115974629
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.3,0.898683115974629
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.35,1.30083
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.4,1.3839498686863292
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.45,1.43936311447721
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.5,1.53377
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.55,1.53377
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.6,1.65827
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.65,1.6699830000673321
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.7,1.69173571447809
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.75,1.76866
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.8,1.76866
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.85,2.25544538865369
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.9,2.25544538865369
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.95,2.93119028405836
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.975,2.93119028405836
2016-02-20,HHS Region 1,ili perc,3,2016-03-12,quantile,0.99,2.93119028405836
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.01,0.468584283357588
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.025,0.468584283357588
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.05,0.468584283357588
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.1,0.509446552025
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.15,0.509446552025
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.2,0.858635
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.25,1.02891421609534
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.3,1.18804
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.35,1.18804
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.4,1.35777
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.45,1.35777
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.5,1.36504
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.55,1.36504
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.6,1.44048177733395
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.65,1.72719
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.7,1.72719
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.75,2.00441581156252
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.8,2.00441581156252
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.85,2.00757282397747
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.9,2.00757282397747
2016-02-20,HHS Region 1,ili perc,4,2016-03-19,quantile,0.95,2.45089111212641
