origin_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.01,1.4520040891019166
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.025,1.490265158263966
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.05,1.5723802502495248
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.1,1.6830637461807105
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.15,1.724805767590321
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.2,1.770285175297419
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.25,1.8089465218074312
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.3,1.8374664189747187
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.35,1.8709439381230548
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.4,1.8897325803013383
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.45,1.9102596049581027
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.5,1.9292615813777938
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.55,1.9542036269986087
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.6,1.9706344296930198
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.65,1.998779483869149
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.7,2.026579085968741
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.75,2.056399953904493
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.8,2.093064218711315
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.85,2.128360929984037
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.9,2.205377772389176
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.95,2.3802895252096454
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.975,2.4875066217895916
2016-03-19,HHS Region 1,ili perc,1,2016-03-26,quantile,0.99,2.822024986727061
2016-03-19,HHS Region 1,ili perc,2,2016-04-02,quantile,0.01,1.1933036617278625
2016-03-19,HHS Region 1,ili perc,2,2016-04-02,quantile,0.025,1.2964738082122818
2016-03-19,HHS Region 1,ili perc,2,2016-04-02,quantile,0.05,1.3819883638005543
2016-03-19,HHS Region 1,ili perc,2,2016-04-02,quantile,0.1,1.4851798228802289
2016-03-19,HHS Region 1,ili perc,2,2016-04-02,quantile,0.15,1.5449043527494384
2016-03-19,HHS Region 1,ili perc,2,2016-04-02,quantile,0.2,1.5995202442220406
2016-03-19,HHS Region 1,ili perc,2,2016-04-02,quantile,0.25,1.6519475544641542
2016-03-19,HHS Region 1,ili perc,2,2016-04-02,quantile,0.3,1.698457850425998
2016-03-19,HHS Region 1,ili perc,2,2016-04-02,quantile,0.35,1.742248876048786
2016-03-19,HHS Region 1,ili perc,2,2016-04-02,quantile,0.4,1.7832153254045497
2016-03-19,HHS Region 1,ili perc,2,2016-04-02,quantile,0.45,1.8291711559598918
2016-03-19,HHS Region 1,ili perc,2,2016-04-02,quantile,0.5,1.8693390056762116
2016-03-19,HHS Region 1,ili perc,2,2016-04-02,quantile,0.55,1.9004327070720746
2016-03-19,HHS Region 1,ili perc,2,2016-04-02,quantile,0.6,1.935279596672796
2016-03-19,HHS Region 1,ili perc,2,2016-04-02,quantile,0.65,1.9685729802510559
2016-03-19,HHS Region 1,ili perc,2,2016-04-02,quantile,0.7,2.021201687712315
2016-03-19,HHS Region 1,ili perc,2,2016-04-02,quantile,0.75,2.067570596790202
