"location","target_end_date","target","output_type","output_type_id","oracle_value"
"US National",2003-08-30,"ili perc","quantile",NA,0.490346815510614
"US National",2003-09-06,"ili perc","quantile",NA,0.7359136418127
"US National",2003-09-13,"ili perc","quantile",NA,0.581771152720334
"US National",2003-09-20,"ili perc","quantile",NA,0.654161864736963
"US National",2003-09-27,"ili perc","quantile",NA,0.749504068538055
"US National",2003-10-04,"ili perc","quantile",NA,0.884021204429485
"US National",2003-10-11,"ili perc","quantile",NA,1.02773045591915
"US National",2003-10-18,"ili perc","quantile",NA,1.28296363238177
"US National",2003-10-25,"ili perc","quantile",NA,1.3266053697292
"US National",2003-11-01,"ili perc","quantile",NA,1.77304009793384
"US National",2003-11-08,"ili perc","quantile",NA,2.43813612052152
"US National",2003-11-15,"ili perc","quantile",NA,2.72604531913952
"US National",2003-11-22,"ili perc","quantile",NA,3.7319220656804
"US National",2003-11-29,"ili perc","quantile",NA,4.54893751799399
"US National",2003-12-06,"ili perc","quantile",NA,5.39906425638487
"US National",2003-12-13,"ili perc","quantile",NA,7.38735357389034
"US National",2003-12-20,"ili perc","quantile",NA,7.48097137314648
"US National",2003-12-27,"ili perc","quantile",NA,7.62796725730726
"US National",2004-01-03,"ili perc","quantile",NA,5.14051498879727
"US National",2004-01-10,"ili perc","quantile",NA,2.89129419229667
"US National",2004-01-17,"ili perc","quantile",NA,2.10428983637694
"US National",2004-01-24,"ili perc","quantile",NA,1.8869563898866
"US National",2004-01-31,"ili perc","quantile",NA,1.77659664241317
"US National",2004-02-07,"ili perc","quantile",NA,1.46000622974468
"US National",2004-02-14,"ili perc","quantile",NA,1.37786947617157
"US National",2004-02-21,"ili perc","quantile",NA,1.30532339707921
"US National",2004-02-28,"ili perc","quantile",NA,1.08691103879546
"US National",2004-03-06,"ili perc","quantile",NA,0.991887735220218
"US National",2004-03-13,"ili perc","quantile",NA,1.02765319840718
"US National",2004-03-20,"ili perc","quantile",NA,1.05789602071851
"US National",2004-03-27,"ili perc","quantile",NA,0.849361020491385
"US National",2004-04-03,"ili perc","quantile",NA,0.747126665292176
"US National",2004-04-10,"ili perc","quantile",NA,0.661707853318756
"US National",2004-04-17,"ili perc","quantile",NA,0.679513857897956
"US National",2004-04-24,"ili perc","quantile",NA,0.633070762506447
"US National",2004-05-01,"ili perc","quantile",NA,0.569893715038825
"US National",2004-05-08,"ili perc","quantile",NA,0.591356768666246
"US National",2004-05-15,"ili perc","quantile",NA,0.589043559956717
"US National",2004-05-22,"ili perc","quantile",NA,0.678640493481165
"US National",2004-05-29,"ili perc","quantile",NA,0.637558475854445
"US National",2004-06-05,"ili perc","quantile",NA,0.813309180414927
"US National",2004-06-12,"ili perc","quantile",NA,0.834551050052394
"US National",2004-06-19,"ili perc","quantile",NA,0.616174060980419
"US National",2004-06-26,"ili perc","quantile",NA,0.513285742502196
"US National",2004-07-03,"ili perc","quantile",NA,0.351881074467375
"US National",2004-07-10,"ili perc","quantile",NA,0.542621107164969
"US National",2004-07-17,"ili perc","quantile",NA,0.581036192538807
"US National",2004-07-24,"ili perc","quantile",NA,0.495486300239858
"US National",2004-07-31,"ili perc","quantile",NA,0.612090360269777
"US National",2004-08-07,"ili perc","quantile",NA,0.531490547922895
"US National",2004-08-14,"ili perc","quantile",NA,0.51998671084002
"US National",2004-08-21,"ili perc","quantile",NA,0.574475754137559
"US National",2004-08-28,"ili perc","quantile",NA,0.663175351255024
"US National",2004-09-04,"ili perc","quantile",NA,0.614691037252002
"US National",2004-09-11,"ili perc","quantile",NA,0.656822919932555
"US National",2004-09-18,"ili perc","quantile",NA,0.723015723700438
"US National",2004-09-25,"ili perc","quantile",NA,0.691857240149956
"US National",2004-10-02,"ili perc","quantile",NA,0.782757764472338
"US National",2004-10-09,"ili perc","quantile",NA,0.982275251246415
"US National",2004-10-16,"ili perc","quantile",NA,1.01821254355417
"US National",2004-10-23,"ili perc","quantile",NA,1.17680497469443
"US National",2004-10-30,"ili perc","quantile",NA,1.30121171361561
"US National",2004-11-06,"ili perc","quantile",NA,1.27745564951796
"US National",2004-11-13,"ili perc","quantile",NA,1.40386862523137
"US National",2004-11-20,"ili perc","quantile",NA,1.40301008402851
"US National",2004-11-27,"ili perc","quantile",NA,1.73974780401595
"US National",2004-12-04,"ili perc","quantile",NA,1.56894071647437
"US National",2004-12-11,"ili perc","quantile",NA,1.65927173784707
"US National",2004-12-18,"ili perc","quantile",NA,1.8134111594715
"US National",2004-12-25,"ili perc","quantile",NA,2.37625578879506
"US National",2005-01-01,"ili perc","quantile",NA,2.77052472140324
"US National",2005-01-08,"ili perc","quantile",NA,2.40064287277021
"US National",2005-01-15,"ili perc","quantile",NA,2.5415463783658
"US National",2005-01-22,"ili perc","quantile",NA,2.85870638979955
"US National",2005-01-29,"ili perc","quantile",NA,3.55010575773556
"US National",2005-02-05,"ili perc","quantile",NA,4.58591287085604
"US National",2005-02-12,"ili perc","quantile",NA,5.05808649712821
"US National",2005-02-19,"ili perc","quantile",NA,5.44150703292525
"US National",2005-02-26,"ili perc","quantile",NA,4.47290381550454
"US National",2005-03-05,"ili perc","quantile",NA,3.67520020609373
"US National",2005-03-12,"ili perc","quantile",NA,3.33529975560688
"US National",2005-03-19,"ili perc","quantile",NA,2.76223957427527
"US National",2005-03-26,"ili perc","quantile",NA,2.46844399772953
"US National",2005-04-02,"ili perc","quantile",NA,2.00080734472694
"US National",2005-04-09,"ili perc","quantile",NA,1.54318952284238
"US National",2005-04-16,"ili perc","quantile",NA,1.50195086621046
"US National",2005-04-23,"ili perc","quantile",NA,1.2291781100798
"US National",2005-04-30,"ili perc","quantile",NA,1.21853900516301
"US National",2005-05-07,"ili perc","quantile",NA,1.15831519645582
"US National",2005-05-14,"ili perc","quantile",NA,1.24900074402246
"US National",2005-05-21,"ili perc","quantile",NA,1.16887834051687
"US National",2005-05-28,"ili perc","quantile",NA,1.07887841848831
"US National",2005-06-04,"ili perc","quantile",NA,1.23059339195328
"US National",2005-06-11,"ili perc","quantile",NA,1.14747488346169
"US National",2005-06-18,"ili perc","quantile",NA,1.00254284822828
"US National",2005-06-25,"ili perc","quantile",NA,0.957569141019123
"US National",2005-07-02,"ili perc","quantile",NA,0.894837476411189
"US National",2005-07-09,"ili perc","quantile",NA,0.798205215029949
"US National",2005-07-16,"ili perc","quantile",NA,0.757812481860001
"US National",2005-07-23,"ili perc","quantile",NA,0.825963378390184
"US National",2005-07-30,"ili perc","quantile",NA,0.74492697915824
"US National",2005-08-06,"ili perc","quantile",NA,0.787049224654512
"US National",2005-08-13,"ili perc","quantile",NA,0.684723769631078
"US National",2005-08-20,"ili perc","quantile",NA,0.747360921616147
"US National",2005-08-27,"ili perc","quantile",NA,0.6739744591204
"US National",2005-09-03,"ili perc","quantile",NA,0.869661601073597
"US National",2005-09-10,"ili perc","quantile",NA,0.899528963767326
"US National",2005-09-17,"ili perc","quantile",NA,0.85463462900034
"US National",2005-09-24,"ili perc","quantile",NA,1.01122644469238
"US National",2005-10-01,"ili perc","quantile",NA,0.977808466574538
"US National",2005-10-08,"ili perc","quantile",NA,1.17777652523357
"US National",2005-10-15,"ili perc","quantile",NA,1.21946603028022
"US National",2005-10-22,"ili perc","quantile",NA,1.30689746064219
"US National",2005-10-29,"ili perc","quantile",NA,1.33930904005386
"US National",2005-11-05,"ili perc","quantile",NA,1.58374139418663
"US National",2005-11-12,"ili perc","quantile",NA,1.47072276224058
"US National",2005-11-19,"ili perc","quantile",NA,1.6111954542992
"US National",2005-11-26,"ili perc","quantile",NA,1.82699400226217
"US National",2005-12-03,"ili perc","quantile",NA,1.77481619353609
"US National",2005-12-10,"ili perc","quantile",NA,1.94450687873534
"US National",2005-12-17,"ili perc","quantile",NA,2.35511513433343
"US National",2005-12-24,"ili perc","quantile",NA,3.10877514295907
"US National",2005-12-31,"ili perc","quantile",NA,3.28237612218792
"US National",2006-01-07,"ili perc","quantile",NA,2.62913989323568
"US National",2006-01-14,"ili perc","quantile",NA,2.2514950898881
"US National",2006-01-21,"ili perc","quantile",NA,2.35857650224821
"US National",2006-01-28,"ili perc","quantile",NA,2.41881416012057
"US National",2006-02-04,"ili perc","quantile",NA,2.52752209008567
"US National",2006-02-11,"ili perc","quantile",NA,2.64953752241428
"US National",2006-02-18,"ili perc","quantile",NA,3.12935321174658
"US National",2006-02-25,"ili perc","quantile",NA,3.12441940531803
"US National",2006-03-04,"ili perc","quantile",NA,3.1309913073712
"US National",2006-03-11,"ili perc","quantile",NA,3.08260941629766
"US National",2006-03-18,"ili perc","quantile",NA,2.64430666309926
"US National",2006-03-25,"ili perc","quantile",NA,2.4229452745597
"US National",2006-04-01,"ili perc","quantile",NA,2.31140580935315
"US National",2006-04-08,"ili perc","quantile",NA,1.86383228328006
"US National",2006-04-15,"ili perc","quantile",NA,1.44943499081609
"US National",2006-04-22,"ili perc","quantile",NA,1.30227305560176
"US National",2006-04-29,"ili perc","quantile",NA,1.13458887059723
"US National",2006-05-06,"ili perc","quantile",NA,1.06255175777012
"US National",2006-05-13,"ili perc","quantile",NA,1.03428423214495
"US National",2006-05-20,"ili perc","quantile",NA,1.01790987567817
"US National",2006-05-27,"ili perc","quantile",NA,0.918150851577594
"US National",2006-06-03,"ili perc","quantile",NA,0.930990335979425
"US National",2006-06-10,"ili perc","quantile",NA,0.857294424083551
"US National",2006-06-17,"ili perc","quantile",NA,0.7862941262584
"US National",2006-06-24,"ili perc","quantile",NA,0.719426395049861
"US National",2006-07-01,"ili perc","quantile",NA,0.718868380093732
"US National",2006-07-08,"ili perc","quantile",NA,0.774806970487722
"US National",2006-07-15,"ili perc","quantile",NA,0.765980254100246
"US National",2006-07-22,"ili perc","quantile",NA,0.642808854132611
"US National",2006-07-29,"ili perc","quantile",NA,0.6220327694809
"US National",2006-08-05,"ili perc","quantile",NA,0.616325939668562
"US National",2006-08-12,"ili perc","quantile",NA,0.685693571560128
"US National",2006-08-19,"ili perc","quantile",NA,0.622697338188391
"US National",2006-08-26,"ili perc","quantile",NA,0.611817261854043
"US National",2006-09-02,"ili perc","quantile",NA,0.638830539861845
"US National",2006-09-09,"ili perc","quantile",NA,0.806627170384198
"US National",2006-09-16,"ili perc","quantile",NA,0.762448355718674
"US National",2006-09-23,"ili perc","quantile",NA,0.813406299730023
"US National",2006-09-30,"ili perc","quantile",NA,0.807934420623137
"US National",2006-10-07,"ili perc","quantile",NA,1.15383912677735
"US National",2006-10-14,"ili perc","quantile",NA,1.14818819361098
"US National",2006-10-21,"ili perc","quantile",NA,1.22735991517567
"US National",2006-10-28,"ili perc","quantile",NA,1.2174439456118
"US National",2006-11-04,"ili perc","quantile",NA,1.32813200398375
"US National",2006-11-11,"ili perc","quantile",NA,1.47754109094703
"US National",2006-11-18,"ili perc","quantile",NA,1.5339010935533
"US National",2006-11-25,"ili perc","quantile",NA,1.91269413807369
"US National",2006-12-02,"ili perc","quantile",NA,1.83799931698105
"US National",2006-12-09,"ili perc","quantile",NA,1.95375577107413
"US National",2006-12-16,"ili perc","quantile",NA,2.40407467721142
"US National",2006-12-23,"ili perc","quantile",NA,2.8745267683527
"US National",2006-12-30,"ili perc","quantile",NA,3.02596786415656
"US National",2007-01-06,"ili perc","quantile",NA,2.37817014785681
"US National",2007-01-13,"ili perc","quantile",NA,2.09232293131677
"US National",2007-01-20,"ili perc","quantile",NA,2.2939591519265
"US National",2007-01-27,"ili perc","quantile",NA,2.74500907198702
"US National",2007-02-03,"ili perc","quantile",NA,3.04433966702088
"US National",2007-02-10,"ili perc","quantile",NA,3.49998683172266
"US National",2007-02-17,"ili perc","quantile",NA,3.57850964552411
"US National",2007-02-24,"ili perc","quantile",NA,3.28978609422107
"US National",2007-03-03,"ili perc","quantile",NA,2.89149161110763
"US National",2007-03-10,"ili perc","quantile",NA,2.62074751563249
"US National",2007-03-17,"ili perc","quantile",NA,2.53387108275255
"US National",2007-03-24,"ili perc","quantile",NA,2.07251264037408
"US National",2007-03-31,"ili perc","quantile",NA,1.87084370928676
